,GDP_sum,Gini,GDP_sum_norm_100
Afghanistan,150.49003312894382,27.82,0.0
Albania,1730.571402284256,31.18,2.42528028622131
Algeria,2489.3782397638943,35.33,3.589979332684412
Angola,1529.4485130022586,50.65,2.116575058753019
Argentina,6882.717045673968,48.772,10.333352303635152
Armenia,1301.153394451075,35.02636363636364,1.766162946268754
Australia,28406.591929823062,35.19,43.37053029879554
Austria,32939.56648544308,29.15,50.32823136552296
Azerbaijan,1742.9019781514676,35.05666666666667,2.4442065916333475
Bangladesh,402.2918731355827,31.972,0.38649277848824926
Belarus,2619.7019500642873,28.132307692307695,3.790014300242904
Belgium,31287.74003713358,32.97,47.79282894919954
Belize,3661.5239404517038,57.58428571428572,5.389115703728972
Benin,476.257542162107,38.62,0.5000233108070357
Bhutan,1033.6907535305033,42.445,1.3556322717174036
Bolivia,1117.0622295102842,56.445454545454545,1.483599856851977
Bosnia and Herzegovina,1900.5613102018874,33.34,2.686199236711564
Botswana,4188.857213926799,60.96,6.198524014841074
Brazil,4997.570376015332,58.41941176470588,7.439824701950328
Bulgaria,2930.9402398198013,29.169999999999998,4.2677365892316095
Burkina Faso,352.92274612941003,44.2375,0.31071568699578095
Burundi,164.13713782078676,36.330000000000005,0.020947056663808875
Cambodia,381.80526442586404,39.676,0.3550477091360476
Cameroon,883.5186964531262,40.0,1.1251319084571463
Canada,29125.217552918388,32.56,44.47355485872584
Cape Verde,1789.826626410407,50.52,2.5162316319773863
Central African Republic,379.30413894831224,53.73333333333333,0.3512087104411165
Chad,378.3985973958318,39.78,0.3498187870368813
Chile,6375.8822097908,54.36555555555556,9.555407218126815
China,1477.7823269366343,39.0775,2.03727219184042
Colombia,3058.8602497599177,57.02933333333333,4.464082096733447
Comoros,597.8568745790546,64.3,0.6866671568047584
"Congo, Dem. Rep.",169.8387592982136,44.43,0.029698523796220917
"Congo, Rep.",1422.6763514480322,47.32,1.9526895629869783
Costa Rica,4432.218038484047,47.6905,6.572060607170352
Cote d'Ivoire,923.5592006017805,41.446000000000005,1.1865904176565851
Croatia,7671.086455486601,29.933333333333337,11.543427192943318
Czech Republic,9603.800564705529,26.21,14.509966460788897
Denmark,40670.84899404811,24.7,62.195042418013976
Djibouti,914.1514864161093,39.96,1.1721504374135991
Dominican Republic,2932.4526004161157,50.07285714285715,4.270057924329599
Ecuador,2647.0845935823086,53.32833333333332,3.832044151872877
"Egypt, Arab Rep.",1413.3881656473775,31.559999999999995,1.938433047875272
El Salvador,2325.1911290848943,50.48571428571429,3.337967144860005
Estonia,6667.070747678154,36.21125,10.002354973032208
Ethiopia,197.04174711920493,33.263333333333335,0.07145262037406858
Fiji,2901.68662598169,44.82,4.222834969399063
Finland,32057.40345536638,26.88,48.974191853480605
France,29887.912802014693,32.74,45.64422226113738
Gabon,5921.672293211285,41.45,8.85823656730431
"Gambia, The",621.6380622686381,48.754999999999995,0.7231691033578708
Georgia,1301.8048835620402,40.48857142857143,1.7671629224271692
Germany,31330.801296487138,28.31,47.85892404116679
Ghana,591.4934896417722,40.54666666666666,0.676899943328734
Greece,17210.90628102229,34.27,26.18617750227927
Guatemala,1904.9193112914495,55.956666666666656,2.6928883695221706
Guinea,425.4036009444045,42.839999999999996,0.42196716539606594
Guinea-Bissau,312.2004513927394,41.68000000000001,0.24821069164396672
Guyana,1284.8025979336746,48.045,1.741065970105516
Haiti,441.7060091861651,59.21,0.4469898699848873
Honduras,1184.9087141439247,56.230000000000004,1.5877380011801705
"Hong Kong SAR, China",26058.46936395362,43.44,39.76637706985206
Hungary,7595.061187564165,27.865,11.426735364822122
India,632.0684691398235,32.699999999999996,0.7391788232721537
Indonesia,1256.179922453498,31.53125,1.6971327829063705
"Iran, Islamic Rep.",2354.5562560243607,42.245,3.383039927097002
Iraq,1229.0850228197628,30.86,1.6555445918032934
Ireland,33476.06026713013,34.28,51.15170021833369
Israel,19555.685858622564,39.2,29.785199550193376
Italy,26422.310076052177,36.03,40.32483926275108
Jamaica,3493.6241517152025,46.511428571428574,5.131404894885599
Japan,36753.341584000125,24.85,56.18202708969934
Jordan,2251.4085522388314,37.60333333333333,3.2247176422808903
Kazakhstan,3200.7471154596187,33.016000000000005,4.681865449523167
Kenya,496.8621226021698,47.43,0.5316494559680661
"Korea, Rep.",13423.244753342597,31.59,20.372463719380086
Kyrgyz Republic,522.0260888645026,37.773,0.5702738410728657
Lao PDR,467.02660121528345,33.6775,0.4858546613066797
Latvia,5530.099626998987,33.804545454545455,8.25720836298121
Lesotho,583.5686518071441,57.86666666666667,0.6647360425657632
Liberia,169.60608422008622,38.16,0.02934138884665878
Lithuania,5624.236295121283,33.25875,8.401699532780656
Luxembourg,65300.95441995437,30.76,100.0
"Macedonia, FYR",2615.5570108378142,39.196,3.7836521978918554
Madagascar,305.31105681581596,44.318333333333335,0.2376361015136213
Malawi,227.06862370446407,44.413333333333334,0.11754112775135613
Malaysia,5014.601076806053,45.906666666666666,7.465965268945526
Maldives,3120.237455635939,50.03,4.5582904902632295
Mali,395.46523796559205,40.645,0.3760145183035511
Mauritania,701.6002501286849,41.62,0.8459037432604785
Mexico,6057.04342371745,49.343636363636364,9.06601886291837
"Micronesia, Fed. Sts.",2262.6008835100433,61.1,3.2418968464148135
Moldova,806.2546553431902,36.21714285714285,1.006538676870665
Mongolia,966.7028370587917,33.2075,1.2528119509381435
Montenegro,2319.520222191123,29.85166666666667,3.329262821802381
Morocco,1720.9232194866029,40.0425,2.4104712086675906
Mozambique,264.3407634904341,45.75333333333333,0.17475045102596828
Namibia,2775.1022891085145,69.115,4.028539597808782
Nepal,299.82556598274647,37.29333333333333,0.2292163751391478
Netherlands,32983.53881498003,30.9,50.39572486683688
New Zealand,20595.496030806178,36.17,31.381212996866342
Nicaragua,1001.3587010181272,44.795,1.3060055302710076
Niger,255.53587452367614,39.0175,0.1612357523210141
Nigeria,599.6787008932477,45.802499999999995,0.6894634934561383
Norway,51192.651552450625,25.79,78.34504634727256
Pakistan,616.6862544435284,31.31857142857143,0.7155685315557899
Panama,4267.905460889402,55.839999999999996,6.31985583911367
Papua New Guinea,945.363255170169,50.88,1.2200576458238765
Paraguay,1886.8606387506275,53.747142857142855,2.665169959974696
Peru,2699.979896341151,50.550666666666665,3.913233600415839
Philippines,1235.3665518743815,44.35142857142858,1.66518616399121
Poland,6227.676332980656,33.227333333333334,9.327924761623997
Portugal,15073.151278211084,38.45,22.904919228940702
Qatar,37146.81265095979,41.1,56.78596916542035
Romania,3467.374464859179,29.947857142857146,5.091114028039021
Russian Federation,4632.27845105137,40.61666666666666,6.8791350301237815
Rwanda,305.7149045085467,52.3,0.23825597076019014
Sao Tome and Principe,442.1650203572969,50.82,0.4476944101220174
Senegal,728.4188360722316,44.004999999999995,0.8870678181384617
Serbia,2353.893803565402,30.72222222222222,3.3820231232028264
Seychelles,8737.502717181702,54.25,13.180278551919583
Sierra Leone,281.5412054494988,42.52,0.2011515551791767
Singapore,26696.957982365682,42.48,40.74639866205605
Slovak Republic,8312.041300612245,26.60875,12.527234217433625
Slovenia,14336.108777929057,29.742,21.77362644811584
South Africa,4310.379745750982,60.846000000000004,6.385049978958003
South Sudan,221.25553999454405,45.53,0.108618576293541
Spain,20996.062359370273,34.66,31.996045649763126
Sri Lanka,1106.93946774217,37.122,1.4680623440139857
St. Lucia,4945.890531116221,42.58,7.360500869978437
Sudan,616.9795702643105,35.29,0.7160187444952413
Suriname,3180.2031339929717,52.88,4.650332318240068
Swaziland,1944.5091870565004,54.27333333333333,2.753655205396109
Sweden,36103.365162484864,25.0,55.1843727711421
Switzerland,48484.58084934667,33.68,74.18840567158217
Syrian Arab Republic,1455.6350357027382,35.78,2.003278126805981
Tajikistan,361.0944683943093,31.724,0.32325853276335725
Tanzania,319.9808404564006,35.34333333333333,0.26015287676403853
Thailand,2748.296630801539,42.593333333333334,3.9873953656697463
Togo,384.8595464621691,34.41,0.3597357525215414
Trinidad and Tobago,8894.516122114863,40.27,13.421279757990668
Tunisia,2774.821119789077,40.038,4.028108028637198
Turkey,5298.711877429479,41.02,7.902049344933905
Turkmenistan,1543.9828566468123,38.075,2.138883946005544
Uganda,302.98721926426873,42.585,0.23406922355899978
Ukraine,1617.054870128228,29.270000000000003,2.2510427988535557
United Kingdom,29547.795272729207,35.97,45.12217298261487
United States,36646.41058008114,40.81,56.017897785441285
Uruguay,6405.111321871773,45.033125000000005,9.600271230004655
Uzbekistan,703.6065922549382,38.85,0.848983294795738
"Venezuela, RB",5450.705135338389,47.12,8.135345084786906
Vietnam,523.6918359176245,36.14666666666667,0.5728306103435062
West Bank and Gaza,740.3937161880624,37.075,0.9054481631268426
"Yemen, Rep.",677.731649494642,35.565,0.8092676258380069
Zambia,581.3796309839813,51.540000000000006,0.66137609595024
Zimbabwe,586.825950328401,50.1,0.6697356976747689
